,0,1,infos,street,geocoded
0,4312,"(['PAGE TITLE: :: Willkommen beim Galabau Lüske in Haselünne/Emsland ::', ['impressum.php'], None], 'Auf dem Höwel, 14 49740 Haselünne')","['PAGE TITLE: :: Willkommen beim Galabau Lüske in Haselünne/Emsland ::', ['impressum.php'], None]","Auf dem Höwel, 14 49740 Haselünne","[51.27476, 6.79986]"
1,4313,"(['2018 Esders GmbH ', ['/bottom/impressum/'], None], 'Hammer-Tannen-Str. 26-30 49740 Haselünne')","['2018 Esders GmbH ', ['/bottom/impressum/'], None]",Hammer-Tannen-Str. 26-30 49740 Haselünne,"[51.27476, 6.79986]"
2,4314,"(['PAGE TITLE: DUHA Fertigteilbau GmbH ', ['impressum'], None], ' 05961 - 50 01 01')","['PAGE TITLE: DUHA Fertigteilbau GmbH ', ['impressum'], None]", 05961 - 50 01 01,"[51.27476, 6.79986]"
3,4315,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
4,4316,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
5,4317,"(['PAGE TITLE: Hallenbau, Stahlbau und Anlagenbau - Stahlbau Menke ', ['/hallenproduktion/kontakt/impressum.html'], None], 'NO!')","['PAGE TITLE: Hallenbau, Stahlbau und Anlagenbau - Stahlbau Menke ', ['/hallenproduktion/kontakt/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
6,4318,"(['2018 LINDSCHULTE Ingenieure + Architekten. All Rights Reserved. © medium media | Agentur für digitale Kommunikation\t\t\t\t\t', ['https://www.lindschulte.de/kontakt/impressum/'], None], 'Seilerbahn 7 48529 Nordhorn')","['2018 LINDSCHULTE Ingenieure + Architekten. All Rights Reserved. © medium media | Agentur für digitale Kommunikation\t\t\t\t\t', ['https://www.lindschulte.de/kontakt/impressum/'], None]",Seilerbahn 7 48529 Nordhorn,"[51.27476, 6.79986]"
7,4319,"(['PAGE TITLE: ELA Container GmbH', ['/de/impressum'], None], 'NO!')","['PAGE TITLE: ELA Container GmbH', ['/de/impressum'], None]",NO!,"[51.27476, 6.79986]"
8,4320,"(['PAGE TITLE: Mattermost', [None], None], None)","['PAGE TITLE: Mattermost', [None], None]",,"[-1.0, -1.0]"
9,4321,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
10,4322,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
11,4323,"(['Büter Hebetechnik GmbH', ['http://www.bueter-hubtische.de/unternehmen/impressum.php'], None], 'NO!')","['Büter Hebetechnik GmbH', ['http://www.bueter-hubtische.de/unternehmen/impressum.php'], None]",NO!,"[51.27476, 6.79986]"
12,4324,"(['PAGE TITLE: Alwin Otten GmbH │ Kälte-Klima-Elektro - Niedersächsische Polizei nimmt zwei neue „E-Kräder“ aus Meppen in Betrieb', ['/impressum-agb'], None], 'Industriestraße 22 49716 Meppen')","['PAGE TITLE: Alwin Otten GmbH │ Kälte-Klima-Elektro - Niedersächsische Polizei nimmt zwei neue „E-Kräder“ aus Meppen in Betrieb', ['/impressum-agb'], None]",Industriestraße 22 49716 Meppen,"[51.27476, 6.79986]"
13,4325,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
14,4326,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
15,4327,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
16,4328,"(['PAGE TITLE: Startseite ', [None], None], None)","['PAGE TITLE: Startseite ', [None], None]",,"[-1.0, -1.0]"
17,4329,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
